long,lat,elevation,distance
6.568601,45.51642,684.8,21.308258713668987
6.567322,45.514238,679,21.57084844414791
6.5658,45.512029,675.8,21.843914451233253
6.565262,45.509351,662.4,22.144967847347058
6.56394,45.506758,647.6,22.451490764129048
6.563367,45.504712,641,22.683596108922053
6.562413,45.502128,631.6,22.980719441754676
6.560057,45.499929,615.6,23.286846675717406
6.55724,45.497959,598.8,23.597337151609057
6.55468,45.495999,584.6,23.893153014776416
6.552697,45.494254,577.6,24.141502531809806
6.551229,45.492632,573.4,24.35533557950877
6.550393,45.491289,573.4,24.518451735089545
6.549462,45.490245,576.8,24.65551006345906
6.54821,45.489163,577.8,24.81060329596586
6.546455,45.487809,574,25.014262310052086
6.544854,45.486162,571.6,25.23613254515342
6.54296,45.484914,569.4,25.438988436782264
6.540026,45.484703,566.2,25.669176656184966
6.537878,45.483618,565.2,25.87579925972289
6.53567,45.483545,561.8,26.048319881098724
6.533493,45.484735,558.6,26.263766090385445
6.531054,45.485633,556.2,26.47877105722996
6.528868,45.486769,555.2,26.691133102620217
6.526712,45.487263,554,26.86815191672274
6.524657,45.488027,554,27.049683529816328
6.522613,45.48769,561.4,27.21355265252829
6.521151,45.488031,570,27.33379852326116
6.519919,45.488596,577.4,27.448689821440134
6.519527,45.489294,580.8,27.53219611658415
6.519135,45.489992,578.6,27.615702272849628
6.518743,45.49069,577.6,27.699208290236413
6.518351,45.491389,577.6,27.78281775975553
6.517959,45.492087,577.6,27.866323499185373
6.514574,45.496724,578.6,28.446168906865008
6.512733,45.497985,574.2,28.64701784933341
6.510402,45.499765,557.8,28.915984556147027
6.508777,45.501792,545,29.174810463613248
6.505651,45.501891,531.2,29.418957065200882
6.503126,45.501537,534,29.619866474875373
6.500964,45.502506,536.2,29.820090902039524
6.499063,45.503486,535,30.004208655479626
6.498119,45.504616,535,30.149974664852333
6.497296,45.505753,538.6,30.291899887044817
6.495902,45.507114,540.8,30.478397871052547
6.493507,45.507783,541.8,30.679537565670564
6.491126,45.508686,540.2,30.89074278341155
6.488705,45.510412,530,31.160162938484014
6.486905,45.51224,521.8,31.407399260431472
6.4859,45.513969,517.2,31.615224397423138
6.485774,45.516019,516,31.843640906662593
6.485497,45.518017,512.8,32.06710424586268
6.4850390000000004,45.51975,512.8,32.26330059084284
6.48312,45.520137,512.8,32.41905374887475
6.482308,45.521268,511.6,32.55998797128263
6.480707,45.522579,509.6,32.75205761120414
6.479588,45.52383,508.6,32.91640559397335
6.477999,45.525009,507.6,33.096914621786766
6.47642,45.526245,509.6,33.28156560643564
6.474908,45.528019,506.4,33.5115721547149
6.474416,45.529922,504.2,33.7268597422814
6.473835,45.531449,504.2,33.90277916730439
6.47346,45.532831,505.2,34.05937726528912
6.472364,45.533874,503,34.20354678573637
6.46901,45.535145,499.4,34.500900311757455
6.467703,45.5366,498.4,34.69226540087667
6.466574,45.538262,494,34.89715403126288
6.465946,45.539831,494,35.078548203899295
6.466107,45.541528,499.4,35.26787398826143
6.465477,45.54241,508.4,35.37765893217846
6.465233,45.543139,516.4,35.46101077424875
6.464853,45.543863,524.2,35.54687890338238
6.4645,45.544478,530.6,35.62066500971274
6.46434,45.545212,538.2,35.703320205808495
6.464225,45.546115,545.6,35.80424073697432
6.46405,45.546905,555.8,35.89323511097335
6.463882,45.546375,563.8,35.95367070145815
6.463752,45.54546,571.8,36.05603101532443
6.463922,45.544341,577.8,36.181300622829326
6.463675,45.544579,582.8,36.214053683046
6.463355,45.54539,589.8,36.30771744569722
6.463267,45.54621,597.6,36.39925688069306
6.463221,45.546841,606.4,36.46959096442296
6.463257,45.547569,614.6,36.550680136176695
6.463016,45.546854,621.6,36.63246101526865
6.462746,45.546101,630.6,36.71888708594897
6.462517,45.545503,638.2,36.78780859361546
6.462494,45.544881,647.2,36.85707253140276
6.46223,45.545327,655,36.91081817205245
6.462284,45.54597,661.8,36.98252030229619
6.46237,45.546522,669.8,37.04433334949761
6.462451,45.547165,678.2,37.11618979057784
6.462135,45.547725,684.8,37.18321983656419
6.461622,45.548174,692,37.24723278642177
6.460985,45.548664,700,37.32099829493414
6.460968,45.549354,707.2,37.39782017564301
6.460548,45.54915,713.8,37.437666503088614
6.460347,45.548386,720.4,37.52414602736625
6.460206,45.547763,726.4,37.59436377640567
6.460298,45.547187,733.2,37.658883686039715
6.461112,45.546438,740.4,37.76366458885689
6.460437,45.54663,747.2,37.8204626948609
6.459798,45.547182,754.2,37.89956748630174
6.459927,45.54688,760.8,37.93465796605888
6.460153,45.546205,766.8,38.01183664629173
6.460556,45.545636,772.6,38.08254145049241
6.460756,45.54489,780.4,38.16703693011591
6.460775,45.544035,787.6,38.2622266211305
6.460387,45.543102,794.8,38.370403329744455
6.459896,45.542219,801.4,38.475889711358995
6.459858,45.5414,808,38.56710850123588
6.459776,45.540598,815.6,38.656615360893824
6.459624,45.539751,823.2,38.75164486576921
6.459705,45.538926,829.2,38.84370034643714
6.459653,45.538006,836.2,38.94619450482805
6.459687,45.537241,843.2,39.031395170157225
6.460428,45.536757,851.4,39.110396770046705
6.461219,45.536003,859.2,39.214556334338866
6.461855,45.535312,866.2,39.30607880255897
6.462115,45.534597,872.4,39.388213720211866
6.462578,45.533875,877.8,39.476322924977424
6.462977,45.533122,884.2,39.565734530464994
6.463142,45.532205,890.2,39.66862219303481
6.463473,45.531233,895.6,39.779860825668955
6.463551,45.53027,902.2,39.88723392178075
6.4634,45.529518,908.8,39.971770330036165
6.462932,45.528718,914,40.06801434855134
6.461904,45.527963,919.6,40.18416452324535
6.461025,45.527241,924.4,40.289800216646206
6.460751,45.52645,928.8,40.3804096802547
6.460772,45.525502,934.6,40.48595326525714
6.460684,45.52466,941,40.579935205036804
6.460137,45.52379,950.8,40.68576293095808
6.4594,45.523221,959,40.771296795681494
6.458895,45.522613,965.6,40.84960506193126
