date,pollster,n,party,value
2025-07-22,Forsa,2502,CDUCSU,0.25
2025-07-22,Forsa,2502,AfD,0.25
2025-07-25,Forschungsgruppe Wahlen,1367,CDUCSU,0.27
2025-07-25,Forschungsgruppe Wahlen,1367,AfD,0.24
2025-07-26,INSA,1203,CDUCSU,0.27
2025-07-26,INSA,1203,AfD,0.24
2025-07-28,INSA,2006,CDUCSU,0.275
2025-07-28,INSA,2006,AfD,0.24
2025-07-29,Forsa,2502,CDUCSU,0.26
2025-07-29,Forsa,2502,AfD,0.25
2025-08-01,Verian,1473,CDUCSU,0.27
2025-08-01,Verian,1473,AfD,0.24
2025-08-02,INSA,1203,CDUCSU,0.27
2025-08-02,INSA,1203,AfD,0.25
2025-08-04,INSA,2004,CDUCSU,0.275
2025-08-04,INSA,2004,AfD,0.25
2025-08-05,Forsa,2503,CDUCSU,0.25
2025-08-05,Forsa,2503,AfD,0.25
2025-08-07,Infratest dimap,1321,CDUCSU,0.27
2025-08-07,Infratest dimap,1321,AfD,0.24
2025-08-09,INSA,1204,CDUCSU,0.27
2025-08-09,INSA,1204,AfD,0.25
2025-08-11,INSA,2008,CDUCSU,0.27
2025-08-11,INSA,2008,AfD,0.25
2025-08-12,Forsa,2505,CDUCSU,0.24
2025-08-12,Forsa,2505,AfD,0.26
2025-08-14,Forschungsgruppe Wahlen,1370,CDUCSU,0.27
2025-08-14,Forschungsgruppe Wahlen,1370,AfD,0.23
2025-08-15,Verian,1464,CDUCSU,0.26
2025-08-15,Verian,1464,AfD,0.25
2025-08-15,INSA,1206,CDUCSU,0.26
2025-08-15,INSA,1206,AfD,0.25
2025-08-19,Forsa,2502,CDUCSU,0.25
2025-08-19,Forsa,2502,AfD,0.26
2025-08-19,INSA,2010,CDUCSU,0.26
2025-08-19,INSA,2010,AfD,0.25
2025-08-20,YouGov,1831,CDUCSU,0.27
2025-08-20,YouGov,1831,AfD,0.25
2025-08-21,Allensbach,1051,CDUCSU,0.28
2025-08-21,Allensbach,1051,AfD,0.225
2025-08-23,INSA,1201,CDUCSU,0.25
2025-08-23,INSA,1201,AfD,0.25
