storenum,opendate,city,state,lat,lon
992,1987-02-03,Tulsa,OK,36.025405,-95.92953
993,1986-11-18,Mcpherson,KS,38.367298,-97.67719
994,1987-02-03,New Port Richey,FL,28.209833,-82.66973
995,1987-02-03,Franklin,IN,39.482105,-86.05043
996,1987-02-03,Spencer,IN,39.290029,-86.77844
1000,1987-02-03,Brownsville,TX,25.918758,-97.42739
1001,1987-02-03,Pueblo,CO,38.235865,-104.66972
1002,1987-03-03,Linton,IN,39.039636,-87.16987
1003,1987-02-03,Plano,IL,41.665654,-88.53697
1004,1987-03-31,Bradenton,FL,27.455543,-82.63372
1005,1987-03-03,Waverly,IA,42.741016,-92.45984
1006,1986-10-28,Cordele,GA,31.950899,-83.77808
1007,1987-02-03,Richland Center,WI,43.361048,-90.40776
1008,1987-03-03,Fort Collins,CO,40.532354,-105.0535
1009,1987-03-31,Republic,MO,37.124302,-93.47407
1010,1986-11-18,Rockingham,NC,34.937078,-79.7605
1011,1986-11-11,Rincon,GA,32.293147,-81.23006
1012,1987-05-12,Beaver Dam,WI,43.456814,-88.84058
1013,1987-03-03,Clinton,IN,39.66851,-87.43577
1014,1986-11-18,Independence,MO,39.053255,-94.4061
1015,1987-03-31,El Paso,TX,31.848055,-106.54487
1016,1987-04-28,Thibodaux,LA,29.797776,-90.81809
1017,1987-03-03,Manning,SC,33.647611,-80.21281
1018,1987-06-02,Eastman,GA,32.193953,-83.1848
1019,1987-05-12,Canon City,CO,38.464212,-105.27973
1020,1987-06-02,Albert Lea,MN,43.652042,-93.36916
1021,1987-05-12,Warrenton,MO,38.818852,-91.17
1022,1987-06-16,Tyler,TX,32.388631,-95.41373
1023,1987-03-31,Galax,VA,36.649548,-80.92683
1024,1987-04-28,Swainsboro,GA,32.605196,-82.3391
1025,1987-04-28,Mccomb,MS,31.225598,-90.43327
1026,1987-03-31,Bedford,IN,38.865549,-86.46897
1027,1987-06-30,Concord,NC,35.405636,-80.63823
1028,1987-05-12,East Peoria,IL,40.683387,-89.54493
1029,1987-06-30,Homosassa,FL,28.746912,-82.53331
1030,1987-03-03,Lancaster,SC,34.729073,-80.76005
1031,1987-08-04,Memphis,TN,35.057311,-89.86291
1032,1987-04-28,Panama City,FL,30.195424,-85.66458
1033,1987-06-16,Seymour,IN,38.958688,-85.89917
1034,1987-06-30,Shelby,NC,35.315118,-81.55584
1035,1987-08-04,Spartanburg,SC,34.940921,-81.98682
1036,1987-03-03,Forest City,NC,35.317602,-81.86722
1037,1987-04-28,Summerville,SC,33.034586,-80.18599
1038,1987-03-03,Waseca,MN,44.067673,-93.5103
1039,1987-06-02,Mount Airy,NC,36.49376,-80.62336
1040,1987-08-04,Houston,TX,29.896656,-95.64842
1041,1987-05-12,Weslaco,TX,26.162609,-97.98512
1042,1987-05-12,Bastrop,TX,30.120443,-97.30991
1043,1987-09-01,Pauls Valley,OK,34.741677,-97.22846
1044,1987-06-16,Tyler,TX,32.264365,-95.31347
1045,1987-07-14,Lafayette,CO,40.002156,-105.10036
1046,1987-05-12,Carrizo Springs,TX,28.524292,-99.83827
1047,1987-09-01,Morrow,GA,33.58776,-84.33011
1048,1987-07-14,Williamsburg,KY,36.709853,-84.1508
1050,1987-01-13,Lamesa,TX,32.714521,-101.94086
1051,1987-01-13,Levelland,TX,33.609208,-102.41478
1052,1987-02-03,Fayette,AL,33.681768,-87.83026
1053,1987-02-03,La Grange,KY,38.407833,-85.38475
1054,1987-02-03,Atchison,KS,39.553786,-95.13472
1055,1987-09-01,Garland,TX,32.960375,-96.66188
1056,1987-02-03,Newcastle,OK,35.240232,-97.60908
1057,1987-02-03,Tallassee,AL,32.553036,-85.9136
1058,1987-07-14,Montrose,CO,38.436409,-107.8625
1059,1987-10-01,Forest,MS,32.379693,-89.46552
1060,1987-10-20,Morganton,NC,35.742752,-81.71625
1061,1987-09-01,Hazlehurst,GA,31.844772,-82.59809
1062,1987-10-01,Friendswood,TX,29.516873,-95.19472
1063,1987-09-01,Geneva,AL,31.043454,-85.87941
1064,1987-08-04,Lenoir,NC,35.934783,-81.54476
1065,1987-08-18,Hope,AR,33.657969,-93.59486
1066,1987-10-01,Pascagoula,MS,30.36298,-88.52901
1067,1987-06-30,Hallettsville,TX,29.369619,-96.86644
1068,1987-10-20,Sebastian,FL,27.78783,-80.48266
1069,1987-08-04,Newton,MS,32.317298,-89.14483
1070,1987-04-28,East Ellijay,GA,34.680011,-84.47154
1071,1987-10-01,Wood River,IL,38.860447,-90.09418
1072,1987-08-18,Tifton,GA,31.459666,-83.51083
1073,1987-04-28,Lampasas,TX,31.06639,-98.19192
1074,1987-11-17,Grenada,MS,33.77132,-89.80301
1075,1987-06-02,Clarksville,TN,36.58068,-87.4056
1076,1987-04-28,Macon,GA,32.878304,-83.59963
1077,1987-08-18,Tallahassee,FL,30.403146,-84.18841
1078,1987-06-30,Ballinger,TX,31.754011,-99.93695
1079,1987-10-01,New Smyrna Beach,FL,29.016897,-80.95736
1080,1987-10-20,Johnson City,TN,36.312633,-82.3802
1081,1987-09-01,Gainesville,FL,29.611545,-82.3941
1082,1987-11-17,Jacksonville,FL,30.159091,-81.63073
1083,1988-06-30,Jacksonville,FL,30.307439,-81.72044
1084,1987-12-31,Orlando,FL,28.494931,-81.28949
1085,1987-09-01,Port Richey,FL,28.30073,-82.69698
1086,1987-10-20,Saint Cloud,FL,28.24934,-81.28749
1087,1987-11-17,Stuart,FL,27.136003,-80.21686
1088,1987-12-31,Biloxi,MS,30.405831,-88.96219
1089,1987-08-04,Jasper,TN,35.065007,-85.61818
1090,1987-10-01,Jacksonville,FL,30.268572,-81.73987
1091,1987-10-01,Andalusia,AL,31.279043,-86.48699
1092,1987-11-03,Brownfield,TX,33.153528,-102.29568
1093,1988-03-08,Rantoul,IL,40.307065,-88.15575
1094,1987-10-01,Kansas City,MO,39.013905,-94.4591
1095,1987-10-01,Glenwood Springs,CO,39.533318,-107.32107
1096,1987-10-20,Mocksville,NC,35.920477,-80.57143
1097,1987-08-18,Aberdeen,NC,35.12416,-79.4415
1098,1987-11-17,Port Lavaca,TX,28.604717,-96.63023
1099,1987-08-04,Wichita,KS,37.667175,-97.31917
1100,1987-12-31,Hamilton,AL,34.149717,-88.00384
1101,1987-10-20,Wetumpka,AL,32.592889,-86.21902
1102,1987-12-31,Baker,LA,30.584787,-91.14763
1103,1987-10-20,Houston,TX,30.007886,-95.48532
1104,1987-10-20,Inverness,FL,28.865761,-82.35982
1105,1987-12-31,North Little Rock,AR,34.777238,-92.17913
1106,1987-06-30,Ferriday,LA,31.667978,-91.51382
1107,1987-06-30,Oakdale,LA,30.806617,-92.65224
1108,1987-06-30,Oak Grove,LA,32.887552,-91.4107
