station_id,name,lat,lon,altitude,date,precipitation,mean_temp,max_temp,min_temp
4841,"Steinau, Kr. Cuxhaven",53.6946,8.8735,-0,2026-03-10,6.1,7.7,18,-0.2
4857,Mittelnkirchen-Hohenfelde,53.5534,9.6097,2,2026-03-10,1.4,9,18.6,-0.4
4878,Oberharz am Brocken-Stiege,51.6647,10.881,505,2026-03-10,1.3,7.7,15.5,-0.1
4880,Stimpfach-Weipertshofen,49.0878,10.124,450,2026-03-10,,,,
4887,Stötten,48.6656,9.8648,734,2026-03-10,0,10.2,14.4,6.4
4911,Straubing,48.8275,12.5597,351,2026-03-10,0,8,16.2,1.8
4919,Strucklahnungshörn,54.4965,8.8069,7,2026-03-10,,,,
4928,Stuttgart (Schnarrenberg),48.8281,9.2,314,2026-03-10,4.8,10.8,17.6,5.5
4931,Stuttgart-Echterdingen,48.6883,9.2235,371,2026-03-10,2.5,9.6,17.7,2.1
4947,Süpplingen,52.2317,10.92,129,2026-03-10,,,,
4978,Tann/Rhön,50.639,10.0228,395,2026-03-10,0.1,9.5,17.3,2.1
4997,Starkenberg-Tegkwitz,50.9771,12.3419,196,2026-03-10,0,10,17.6,4.6
5009,Teterow,53.761,12.5574,37,2026-03-10,0.6,8.7,16.4,0.7
5014,Worpswede-Hüttenbusch,53.2758,8.9857,7,2026-03-10,3.1,9.1,18.6,0.5
5017,Teuschnitz,50.4002,11.3888,633,2026-03-10,0.2,8.3,14.1,3.2
5029,Tholey,49.4737,7.0385,387,2026-03-10,0.7,9.8,14.1,6.7
5046,Tirschenreuth-Lodermühl,49.8576,12.3542,501,2026-03-10,0.6,6.5,15.3,0.1
5064,Tönisvorst,51.2897,6.4437,37,2026-03-10,0.3,10.8,17,5.9
5078,Travemünde,53.9619,10.8892,2,2026-03-10,,,,
5097,Tribsees,54.0654,12.7655,10,2026-03-10,0.2,6.8,15,-2
5099,Trier-Zewen,49.7326,6.6131,132,2026-03-10,0,9.2,16.4,2.8
5100,Trier-Petrisberg,49.7479,6.6583,261,2026-03-10,0,9.4,15.7,4.9
5109,Trollenhagen,53.5998,13.3039,68,2026-03-10,0.1,9.2,15.4,1.8
5111,Trostberg,48.0311,12.5396,560,2026-03-10,0.1,9.4,16.9,2.6
5133,Twistetal-Mühlhausen,51.3344,8.9132,287,2026-03-10,0.7,8.6,17.5,0.9
5142,Ueckermünde,53.7445,14.0698,1,2026-03-10,0,5.8,14.6,-1.2
5146,Uelzen,52.9414,10.5289,50,2026-03-10,0.9,8.9,18.6,-0.5
5149,Gollhofen,49.5679,10.1969,318,2026-03-10,0.1,10.4,17.7,2.8
5158,Ummendorf,52.1601,11.1759,159,2026-03-10,2.4,11.1,17,5
5229,Villingen-Schwenningen,48.0453,8.4608,719,2026-03-10,0.1,7.2,16.2,-0.6
5275,Waghäusel-Kirrlach,49.2445,8.5374,105,2026-03-10,2.5,11.8,19.4,4.7
5279,Wesertal-Lippoldsberg,51.6194,9.5749,167,2026-03-10,1.9,7.4,18.2,0.2
5280,Wittenborn,53.9224,10.2267,33,2026-03-10,4.6,8.7,18,0.7
5300,Waldems-Reinborn,50.2596,8.3607,380,2026-03-10,0,12,17.6,7
5319,"Waldsee, Bad-Reute",47.9167,9.7076,576,2026-03-10,,,,
5327,Walldürn,49.5789,9.3974,404,2026-03-10,,,,
5335,Waltershausen,50.8963,10.5483,352,2026-03-10,2.2,9.4,18.1,2.2
5347,Warburg,51.5039,9.1118,236,2026-03-10,1,8.5,17.5,0.7
5349,Waren (Müritz),53.5196,12.6654,73,2026-03-10,0,6.3,15.6,0
5371,Wasserkuppe,50.4973,9.9427,920,2026-03-10,0,8.4,14.6,4.8
5397,Weiden,49.6662,12.1844,440,2026-03-10,0,8.5,16.2,1.7
5404,Weihenstephan-Dürnast,48.4024,11.6946,477,2026-03-10,0.9,8.9,16.6,2.1
5412,Weilheim-Bierbronnen,47.6802,8.1964,771,2026-03-10,,,,
5424,Weimar-Schöndorf,51.0177,11.3544,328,2026-03-10,1.2,11.4,16.8,5.5
5426,Weinbiet,49.3758,8.1212,553,2026-03-10,0,11,16.5,7.6
5433,Weiskirchen/Saar,49.5534,6.812,383,2026-03-10,0.8,9.3,14.7,5.3
5440,Weißenburg-Emetzheim,49.0115,10.9308,439,2026-03-10,2.5,9.5,16.8,2.7
5480,Werl,51.5763,7.8879,85,2026-03-10,1,10.8,18.1,3.4
5490,Wernigerode,51.8454,10.7686,233,2026-03-10,2.1,9.7,18,1.5
5516,Fehmarn,54.5283,11.0606,3,2026-03-10,4.3,5.3,9.7,2.3
5538,Wielenbach (Demollstr.),47.8827,11.1576,551,2026-03-10,0,7.9,17.9,0.6
5541,Wiesbaden-Auringen,50.1321,8.3169,263,2026-03-10,0.1,10.8,18.1,5.7
5546,Wiesenburg,52.1206,12.4586,187,2026-03-10,0,10.3,15.8,5.2
5562,Neubulach-Oberhaugstett,48.6516,8.6801,571,2026-03-10,2.5,8,15.9,2
5629,Wittenberg,51.8891,12.6446,105,2026-03-10,0.6,9.3,16.6,3
5640,Wittmundhafen,53.5444,7.6625,7,2026-03-10,1.4,7.8,,
5643,Wittstock-Rote Mühle,53.1864,12.4949,68,2026-03-10,0,6.9,16.7,-1.3
5664,Wolfach,48.2953,8.2391,296,2026-03-10,0.9,8.5,18.3,2
5688,Dachsberg-Wolpadingen,47.7004,8.1057,881,2026-03-10,0.2,8.7,13.5,4.4
5692,Worms,49.6051,8.3659,88,2026-03-10,0,10.9,18.4,3.8
5705,Würzburg,49.7704,9.9576,268,2026-03-10,0.6,10.3,18.7,1.9
